Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
01-Oct-09,834.75,834.75,834.75,834.75,834.5,2,1,1669,2,100,0,0,0,834.75,0,834.75,0,834.75,0,834.75,0
05-Oct-09,796.25,796.25,796.25,796.25,796,2,1,1592,2,100,0,0,-0.046121593,815.5,-0.046121593,815.5,-0.046121593,815.5,-0.046121593,815.5,0
06-Oct-09,761.25,761.25,761.25,761.25,761,2,1,1522,2,100,0,0,-0.043956044,797.4166667,-0.043956044,797.4166667,-0.043956044,797.4166667,-0.043956044,797.4166667,0
07-Oct-09,723.25,723.25,723.25,723.25,723,2,1,1446,2,100,0,0,-0.049917898,778.875,-0.049917898,778.875,-0.049917898,778.875,-0.049917898,778.875,0
08-Oct-09,687.1,687.1,687.1,687.1,687,2,1,1374,2,100,0,0,-0.049982717,760.52,-0.049982717,760.52,-0.049982717,760.52,-0.049982717,760.52,0
09-Oct-09,652.75,652.75,652.75,652.75,652.5,2,1,1305,2,100,0,0,-0.049992723,742.5583333,-0.049992723,742.5583333,-0.049992723,742.5583333,-0.049992723,742.5583333,0
12-Oct-09,620.15,620.15,620.15,620.15,620,5,1,3100,5,100,0,0,-0.049942551,725.0714286,-0.049942551,725.0714286,-0.049942551,725.0714286,-0.049942551,725.0714286,0
14-Oct-09,589.15,589.15,589.15,589.15,589.1333333,45,3,26511,45,100,0,0,-0.049987906,708.08125,-0.049987906,708.08125,-0.049987906,708.08125,-0.049987906,708.08125,0
15-Oct-09,559.7,559.7,559.7,559.7,559.5,4,1,2238,4,100,0,0,-0.04998727,691.5944444,-0.04998727,691.5944444,-0.04998727,691.5944444,-0.04998727,691.5944444,0
16-Oct-09,531.75,570,531.75,531.75,532.2508039,311,8,165530,311,100,38.25,0,-0.049937466,675.61,0.018402716,679.435,-0.049937466,675.61,-0.049937466,675.61,0
