Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
25-Jan-13,128,128,118.55,128,126.6987179,312,12,39530,312,100,9.45,0,0,128,0,128,0,118.55,0,128,0
28-Jan-13,133,133,123.05,131.1,131.5801444,2770,10,364477,2770,100,9.95,-1.9,0.0390625,130.5,0.0390625,130.5,0.037958667,120.8,0.02421875,129.55,0
29-Jan-13,130,134.9,126,127.9,128.9484716,5725,13,738230,5725,100,8.9,-2.1,-0.022556391,130.3333333,0.014285714,131.9666667,0.023973994,122.5333333,-0.024408848,129,0
30-Jan-13,125,126.9,124,126.9,125.2198198,1110,7,138994,1110,100,2.9,1.9,-0.038461538,129,-0.059303188,130.7,-0.015873016,122.9,-0.007818608,128.475,0
31-Jan-13,128,128,125,127,126.5503154,10623,32,1344344,10623,100,3,-1,0.024,128.8,0.008668243,130.16,0.008064516,123.32,0.000788022,128.18,0
01-Feb-13,121.1,129,121.1,121.7,123.5789474,38,5,4696,38,100,7.9,0.6,-0.05390625,127.5166667,0.0078125,129.9666667,-0.0312,122.95,-0.041732283,127.1,0
04-Feb-13,120.85,127.5,116,126.45,117.1968256,72455,189,8491496,72455,100,11.5,5.6,-0.00206441,126.5642857,-0.011627907,129.6142857,-0.042113955,121.9571429,0.039030403,127.0071429,0
05-Feb-13,126.5,132.4,126.5,127.5,127.4642435,27925,35,3559439,27925,100,5.9,1,0.046752172,126.55625,0.038431373,129.9625,0.090517241,122.525,0.008303677,127.06875,0
06-Feb-13,132.15,132.2,127.3,132.15,127.6379019,591,11,75434,591,100,4.9,0,0.044664032,127.1777778,-0.001510574,130.2111111,0.006324111,123.0555556,0.036470588,127.6333333,0
07-Feb-13,126.1,126.1,126.1,126.1,126.0999823,28215,16,3557911,28215,100,0,0,-0.045781309,127.07,-0.046142209,129.8,-0.009426551,123.36,-0.045781309,127.48,0
