Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
25-Aug-14,118,123.9,118,123.9,122.16,100,8,12216,100,100,5.9,5.9,0,118,0,123.9,0,118,0,123.9,1
26-Aug-14,130.05,130.05,130.05,130.05,130,11,4,1430,11,100,0,0,0.102118644,124.025,0.049636804,126.975,0.102118644,124.025,0.049636804,126.975,1
27-Aug-14,136.55,136.55,136.55,136.55,136.52,25,2,3413,25,100,0,0,0.049980777,128.2,0.049980777,130.1666667,0.049980777,128.2,0.049980777,130.1666667,1
28-Aug-14,143.35,143.35,143.35,143.35,143.3333333,15,4,2150,15,100,0,0,0.049798609,131.9875,0.049798609,133.4625,0.049798609,131.9875,0.049798609,133.4625,1
01-Sep-14,150.5,150.5,150.5,150.5,150.5,10,4,1505,10,100,0,0,0.049877921,135.69,0.049877921,136.87,0.049877921,135.69,0.049877921,136.87,1
02-Sep-14,158,158,158,158,158,5,2,790,5,100,0,0,0.049833887,139.4083333,0.049833887,140.3916667,0.049833887,139.4083333,0.049833887,140.3916667,1
03-Sep-14,165.9,165.9,165.9,165.9,165.8666667,15,5,2488,15,100,0,0,0.05,143.1928571,0.05,144.0357143,0.05,143.1928571,0.05,144.0357143,1
04-Sep-14,174.15,174.15,174.15,174.15,174,2,2,348,2,100,0,0,0.049728752,147.0625,0.049728752,147.8,0.049728752,147.0625,0.049728752,147.8,1
05-Sep-14,182.85,182.85,182.85,182.85,182.8,5,2,914,5,100,0,0,0.049956934,151.0388889,0.049956934,151.6944444,0.049956934,151.0388889,0.049956934,151.6944444,1
08-Sep-14,191.95,191.95,191.95,191.95,191.8,5,2,959,5,100,0,0,0.049767569,155.13,0.049767569,155.72,0.049767569,155.13,0.049767569,155.72,1
09-Sep-14,211.1,211.1,211.1,211.1,211.1,10,4,2111,10,100,0,0,0.099765564,160.2181818,0.099765564,160.7545455,0.099765564,160.2181818,0.099765564,160.7545455,1
10-Sep-14,232.2,232.2,232.2,232.2,232,1,2,232,1,100,0,0,0.099952629,166.2166667,0.099952629,166.7083333,0.099952629,166.2166667,0.099952629,166.7083333,1
11-Sep-14,255.4,255.4,255.4,255.4,255,2,2,510,2,100,0,0,0.099913867,173.0769231,0.099913867,173.5307692,0.099913867,173.0769231,0.099913867,173.5307692,1
12-Sep-14,268.15,268.15,268.15,268.15,268,1,2,268,1,100,0,0,0.049921691,179.8678571,0.049921691,180.2892857,0.049921691,179.8678571,0.049921691,180.2892857,1
15-Sep-14,281.55,281.55,281.55,281.55,281.4,5,2,1407,5,100,0,0,0.049972031,186.6466667,0.049972031,187.04,0.049972031,186.6466667,0.049972031,187.04,1
16-Sep-14,295.6,295.6,295.6,295.6,295.6,5,2,1478,5,100,0,0,0.049902326,193.45625,0.049902326,193.825,0.049902326,193.45625,0.049902326,193.825,1
17-Sep-14,310.35,310.35,310.35,310.35,310.2727273,11,3,3413,11,100,0,0,0.049898512,200.3323529,0.049898512,200.6794118,0.049898512,200.3323529,0.049898512,200.6794118,1
19-Sep-14,325.85,325.85,325.85,325.85,325.8,5,2,1629,5,100,0,0,0.049943612,207.3055556,0.049943612,207.6333333,0.049943612,207.3055556,0.049943612,207.6333333,1
