Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
01-Oct-08,23,23,19.5,19.7,20.31955141,7401,25,150385,5256,71.02,3.5,-3.3,0,23,0,23,0,19.5,0,19.7,0
03-Oct-08,23.6,23.6,19.6,20,20.31277778,1800,11,36563,1199,66.61,4,-3.6,0.026086957,23.3,0.026086957,23.3,0.005128205,19.55,0.015228426,19.85,0
06-Oct-08,22,22.7,17,17,18.273522,33745,33,616640,28640,84.87,5.7,-5,-0.06779661,22.86666667,-0.038135593,23.1,-0.132653061,18.7,-0.15,18.9,0
07-Oct-08,18,19.8,15.25,17.7,17.06761134,12350,40,210785,8480,68.66,4.55,-0.3,-0.181818182,21.65,-0.127753304,22.275,-0.102941176,17.8375,0.041176471,18.6,0
08-Oct-08,18.9,18.9,16,16.55,16.4695456,3103,17,51105,2952,95.13,2.9,-2.35,0.05,21.1,-0.045454545,21.6,0.049180328,17.47,-0.064971751,18.19,0
10-Oct-08,13.25,16.45,13.25,13.25,13.28145978,26963,59,358108,24658,91.45,3.2,0,-0.298941799,19.79166667,-0.12962963,20.74166667,-0.171875,16.76666667,-0.19939577,17.36666667,0
13-Oct-08,10.65,15.25,10.65,14.75,14.3106267,11377,52,162812,9696,85.22,4.6,4.1,-0.196226415,18.48571429,-0.072948328,19.95714286,-0.196226415,15.89285714,0.113207547,16.99285714,0
14-Oct-08,16.85,17,15.5,16.05,16.0876368,35088,51,564483,33183,94.57,1.5,-0.8,0.582159624,18.28125,0.114754098,19.5875,0.455399061,15.84375,0.088135593,16.875,0
15-Oct-08,19.25,19.25,15.05,15.75,15.9902071,18687,63,298809,11025,59,4.2,-3.5,0.142433234,18.38888889,0.132352941,19.55,-0.029032258,15.75555556,-0.018691589,16.75,0
16-Oct-08,12.65,15.7,12.65,14.3,13.68155768,6805,30,93103,5415,79.57,3.05,1.65,-0.342857143,17.815,-0.184415584,19.165,-0.159468439,15.445,-0.092063492,16.505,0
17-Oct-08,12.2,14.5,12.2,14,13.59172414,725,6,9854,421,58.07,2.3,1.8,-0.035573123,17.30454545,-0.076433121,18.74090909,-0.035573123,15.15,-0.020979021,16.27727273,0
20-Oct-08,13,13.35,13,13.35,13.34825871,201,3,2683,201,100,0.35,0.35,0.06557377,16.94583333,-0.079310345,18.29166667,0.06557377,14.97083333,-0.046428571,16.03333333,0
21-Oct-08,10.9,15.5,10.9,15.05,14.94709017,24211,27,361884,22740,93.92,4.6,4.15,-0.161538462,16.48076923,0.161048689,18.07692308,-0.161538462,14.65769231,0.127340824,15.95769231,0
22-Oct-08,18.05,18.05,14.95,15.3,15.08081314,29958,74,451791,28951,96.64,3.1,-2.75,0.655963303,16.59285714,0.164516129,18.075,0.371559633,14.67857143,0.016611296,15.91071429,0
23-Oct-08,18.35,18.35,13.55,15.95,15.86071766,2118,18,33593,2003,94.57,4.8,-2.4,0.016620499,16.71,0.016620499,18.09333333,-0.093645485,14.60333333,0.04248366,15.91333333,0
24-Oct-08,17.45,17.45,13.5,14,14.52608615,10772,33,156475,10770,99.98,3.95,-3.45,-0.049046322,16.75625,-0.049046322,18.053125,-0.003690037,14.534375,-0.122257053,15.79375,0
27-Oct-08,13.55,14,11.25,12.25,12.70586361,9414,27,119613,8672,92.12,2.75,-1.3,-0.223495702,16.56764706,-0.197707736,17.81470588,-0.166666667,14.34117647,-0.125,15.58529412,0
28-Oct-08,14.7,14.7,12.1,14.45,13.97139831,2832,18,39567,2770,97.81,2.6,-0.25,0.084870849,16.46388889,0.05,17.64166667,0.075555556,14.21666667,0.179591837,15.52222222,0
29-Oct-08,17,17.3,13.35,14.65,16.10885812,16324,75,262961,6064,37.15,3.95,-2.35,0.156462585,16.49210526,0.176870748,17.62368421,0.103305785,14.17105263,0.01384083,15.47631579,0
31-Oct-08,16.8,16.8,13,13.4,13.43890815,4616,27,62034,4260,92.29,3.8,-3.4,-0.011764706,16.5075,-0.028901734,17.5825,-0.026217228,14.1125,-0.085324232,15.3725,0
03-Nov-08,16,16,13,14,13.61113408,14514,57,197552,10797,74.39,3,-2,-0.047619048,16.48333333,-0.047619048,17.50714286,0,14.05952381,0.044776119,15.30714286,0
04-Nov-08,16.7,16.7,13.95,14.27,14.15364503,13004,26,184054,11002,84.6,2.75,-2.43,0.04375,16.49318182,0.04375,17.47045455,0.073076923,14.05454545,0.019285714,15.26,0
05-Nov-08,17,17,14.1,14.79,15.02845982,1792,13,26931,1670,93.19,2.9,-2.21,0.017964072,16.51521739,0.017964072,17.45,0.010752688,14.05652174,0.036440084,15.23956522,0
06-Nov-08,17.5,17.5,13.2,14.1,13.73502755,5627,19,77287,2523,44.84,4.3,-3.4,0.029411765,16.55625,0.029411765,17.45208333,-0.063829787,14.02083333,-0.046653144,15.19208333,0
