Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
02-Jan-09,325,325,325,325,325,75,2,24375,75,100,0,0,0,325,0,325,0,325,0,325,0
05-Jan-09,325,325,325,325,325,25,1,8125,25,100,0,0,0,325,0,325,0,325,0,325,0
07-Jan-09,325,325,325,325,325,40,2,13000,40,100,0,0,0,325,0,325,0,325,0,325,0
09-Jan-09,325,335,325,325,325.0178253,561,6,182335,561,100,10,0,0,325,0.030769231,327.5,0,325,0,325,0
12-Jan-09,325,325,325,325,325,27,3,8775,27,100,0,0,0,325,-0.029850746,327,0,325,0,325,0
14-Jan-09,308.8,325,308.8,325,315.1818182,165,3,52005,165,100,16.2,16.2,-0.049846154,322.3,0,326.6666667,-0.049846154,322.3,0,325,0
15-Jan-09,308.8,325,308.8,325,311.9354839,62,2,19340,62,100,16.2,16.2,0,320.3714286,0,326.4285714,0,320.3714286,0,325,0
16-Jan-09,308.8,325,308.8,313.6,310.2120445,16987,10,5269572,16987,100,16.2,4.8,0,318.925,0,326.25,0,318.925,-0.035076923,323.575,0
19-Jan-09,310.2,325,310.2,325,320.6950355,141,2,45218,141,100,14.8,14.8,0.004533679,317.9555556,0,326.1111111,0.004533679,317.9555556,0.036352041,323.7333333,0
21-Jan-09,312,325,309,312.1,312.0808964,17269,7,5389325,17269,100,16,0.1,0.005802708,317.36,0,326,-0.003868472,317.06,-0.039692308,322.57,0
22-Jan-09,319.8,325,297,297,312.4150943,212,8,66232,212,100,28,-22.8,0.025,317.5818182,0,325.9090909,-0.038834951,315.2363636,-0.048381929,320.2454545,0
23-Jan-09,293.05,293.05,293.05,293.05,293.05,14000,3,4102700,14000,100,0,0,-0.083646029,315.5375,-0.098307692,323.1708333,-0.013299663,313.3875,-0.013299663,317.9791667,0
29-Jan-09,278.4,278.4,278.4,278.4,278.4,10,1,2784,10,100,0,0,-0.049991469,312.6807692,-0.049991469,319.7269231,-0.049991469,310.6961538,-0.049991469,314.9346154,0
30-Jan-09,288,288,288,288,288,1,1,288,1,100,0,0,0.034482759,310.9178571,0.034482759,317.4607143,0.034482759,309.075,0.034482759,313.0107143,0
02-Feb-09,275,275,275,275,275,10,1,2750,10,100,0,0,-0.045138889,308.5233333,-0.045138889,314.63,-0.045138889,306.8033333,-0.045138889,310.4766667,0
05-Feb-09,261.3,261.3,261.3,261.3,261,1,1,261,1,100,0,0,-0.049818182,305.571875,-0.049818182,311.296875,-0.049818182,303.959375,-0.049818182,307.403125,0
06-Feb-09,256.1,256.1,256.1,256.1,256,5,1,1280,5,100,0,0,-0.019900498,302.6617647,-0.019900498,308.05,-0.019900498,301.1441176,-0.019900498,304.3852941,0
09-Feb-09,268.9,268.9,268.9,268.9,268.88,25,2,6722,25,100,0,0,0.049980476,300.7861111,0.049980476,305.875,0.049980476,299.3527778,0.049980476,302.4138889,0
12-Feb-09,279.9,279.9,279.9,279.9,279.8,5,1,1399,5,100,0,0,0.040907401,299.6868421,0.040907401,304.5078947,0.040907401,298.3289474,0.040907401,301.2289474,0
13-Feb-09,275,275,275,275,275,45,1,12375,45,100,0,0,-0.017506252,298.4525,-0.017506252,303.0325,-0.017506252,297.1625,-0.017506252,299.9175,0
