Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
05-Mar-14,1.05,1.05,1.05,1.05,1,1,1,1,1,100,0,0,0,1.05,0,1.05,0,1.05,0,1.05,1
06-Mar-14,1.1,1.1,1.1,1.1,1,2,2,2,2,100,0,0,0.047619048,1.075,0.047619048,1.075,0.047619048,1.075,0.047619048,1.075,1
07-Mar-14,1.15,1.15,1.15,1.15,1,1,1,1,1,100,0,0,0.045454545,1.1,0.045454545,1.1,0.045454545,1.1,0.045454545,1.1,1
10-Mar-14,1.2,1.2,1.2,1.2,1,1,1,1,1,100,0,0,0.043478261,1.125,0.043478261,1.125,0.043478261,1.125,0.043478261,1.125,1
11-Mar-14,1.26,1.26,1.26,1.26,1,1,1,1,1,100,0,0,0.05,1.152,0.05,1.152,0.05,1.152,0.05,1.152,1
12-Mar-14,1.32,1.32,1.32,1.32,1,1,1,1,1,100,0,0,0.047619048,1.18,0.047619048,1.18,0.047619048,1.18,0.047619048,1.18,1
13-Mar-14,1.38,1.38,1.38,1.38,1,1,1,1,1,100,0,0,0.045454545,1.208571429,0.045454545,1.208571429,0.045454545,1.208571429,0.045454545,1.208571429,1
14-Mar-14,1.44,1.44,1.44,1.44,1,1,1,1,1,100,0,0,0.043478261,1.2375,0.043478261,1.2375,0.043478261,1.2375,0.043478261,1.2375,1
18-Mar-14,1.51,1.51,1.51,1.51,1,1,1,1,1,100,0,0,0.048611111,1.267777778,0.048611111,1.267777778,0.048611111,1.267777778,0.048611111,1.267777778,1
19-Mar-14,1.58,1.58,1.58,1.58,1,1,1,1,1,100,0,0,0.046357616,1.299,0.046357616,1.299,0.046357616,1.299,0.046357616,1.299,1
20-Mar-14,1.65,1.65,1.65,1.65,1,1,1,1,1,100,0,0,0.044303797,1.330909091,0.044303797,1.330909091,0.044303797,1.330909091,0.044303797,1.330909091,1
21-Mar-14,1.73,1.73,1.73,1.73,1,1,1,1,1,100,0,0,0.048484848,1.364166667,0.048484848,1.364166667,0.048484848,1.364166667,0.048484848,1.364166667,1
22-Mar-14,1.81,1.81,1.81,1.81,1,1,1,1,1,100,0,0,0.046242775,1.398461538,0.046242775,1.398461538,0.046242775,1.398461538,0.046242775,1.398461538,1
24-Mar-14,1.9,1.9,1.9,1.9,1,1,1,1,1,100,0,0,0.049723757,1.434285714,0.049723757,1.434285714,0.049723757,1.434285714,0.049723757,1.434285714,1
25-Mar-14,1.93,1.93,1.93,1.93,1,1,1,1,1,100,0,0,0.015789474,1.467333333,0.015789474,1.467333333,0.015789474,1.467333333,0.015789474,1.467333333,1
26-Mar-14,1.96,1.96,1.96,1.96,1,1,1,1,1,100,0,0,0.015544041,1.498125,0.015544041,1.498125,0.015544041,1.498125,0.015544041,1.498125,1
27-Mar-14,1.99,1.99,1.99,1.99,1,1,1,1,1,100,0,0,0.015306122,1.527058824,0.015306122,1.527058824,0.015306122,1.527058824,0.015306122,1.527058824,1
