Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
21-Jul-10,36,50,36,37.22,36.23004444,45000,396,1630352,45000,100,14,1.22,0,36,0,50,0,36,0,37.22,1
22-Jul-10,39.08,39.08,39.08,39.08,39.08,50,1,1954,50,100,0,0,0.085555556,37.54,-0.2184,44.54,0.085555556,37.54,0.049973133,38.15,1
23-Jul-10,41.03,41.03,41.03,41.03,41.02,50,1,2051,50,100,0,0,0.049897646,38.70333333,0.049897646,43.37,0.049897646,38.70333333,0.049897646,39.11,1
26-Jul-10,43.08,43.08,43.08,43.08,43.08,200,1,8616,200,100,0,0,0.049963441,39.7975,0.049963441,43.2975,0.049963441,39.7975,0.049963441,40.1025,1
27-Jul-10,45.23,45.23,45.23,45.23,45.228,250,3,11307,250,100,0,0,0.049907149,40.884,0.049907149,43.684,0.049907149,40.884,0.049907149,41.128,1
28-Jul-10,47.49,47.49,47.49,47.49,47.488,250,2,11872,250,100,0,0,0.049966836,41.985,0.049966836,44.31833333,0.049966836,41.985,0.049966836,42.18833333,1
29-Jul-10,49.86,49.86,49.86,49.86,49.86,350,3,17451,350,100,0,0,0.049905243,43.11,0.049905243,45.11,0.049905243,43.11,0.049905243,43.28428571,1
30-Jul-10,52.35,52.35,52.35,52.35,52.348,250,1,13087,250,100,0,0,0.049939832,44.265,0.049939832,46.015,0.049939832,44.265,0.049939832,44.4175,1
02-Aug-10,54.95,54.95,50.1,54.9,54.92364912,14250,120,782662,14250,100,4.85,-0.05,0.049665712,45.45222222,0.049665712,47.00777778,-0.042979943,44.91333333,0.048710602,45.58222222,1
03-Aug-10,55,57.55,54.5,55.75,55.85273356,14450,59,807072,14450,100,3.05,0.75,0.000909918,46.407,0.047315742,48.062,0.087824351,45.872,0.015482696,46.599,1
04-Aug-10,58.5,58.5,53,56,53.77537221,80600,145,4334295,80600,100,5.5,-2.5,0.063636364,47.50636364,0.016507385,49.01090909,-0.027522936,46.52,0.004484305,47.45363636,1
05-Aug-10,58.8,58.8,56,56.45,58.20521327,21100,74,1228130,21100,100,2.8,-2.35,0.005128205,48.4475,0.005128205,49.82666667,0.056603774,47.31,0.008035714,48.20333333,1
06-Aug-10,57.45,57.45,55.25,56,56.30197183,3550,35,199872,3550,100,2.2,-1.45,-0.022959184,49.14,-0.022959184,50.41307692,-0.013392857,47.92076923,-0.007971656,48.80307692,1
09-Aug-10,56,57,55,56.6,56.004,500,7,28002,500,100,2,0.6,-0.025239339,49.63,-0.007832898,50.88357143,-0.004524887,48.42642857,0.010714286,49.36,1
10-Aug-10,54.15,56.45,53.8,53.8,54.032,2500,16,135080,2500,100,2.65,-0.35,-0.033035714,49.93133333,-0.009649123,51.25466667,-0.021818182,48.78466667,-0.049469965,49.656,1
11-Aug-10,51.15,51.15,51.15,51.15,51.14909091,550,8,28132,550,100,0,0,-0.055401662,50.0075,-0.093888397,51.248125,-0.049256506,48.9325,-0.049256506,49.749375,1
12-Aug-10,48.6,48.6,48.6,48.6,48.6,50,1,2430,50,100,0,0,-0.049853372,49.92470588,-0.049853372,51.09235294,-0.049853372,48.91294118,-0.049853372,49.68176471,1
13-Aug-10,46.2,46.2,46.2,46.2,46.2,150,2,6930,150,100,0,0,-0.049382716,49.71777778,-0.049382716,50.82055556,-0.049382716,48.76222222,-0.049382716,49.48833333,1
16-Aug-10,43.9,45,43.9,45,44.85581818,5500,29,246707,5500,100,1.1,1.1,-0.04978355,49.41157895,-0.025974026,50.51421053,-0.04978355,48.50631579,-0.025974026,49.25210526,1
17-Aug-10,45,47,45,47,45.01438849,6950,135,312850,6950,100,2,2,0.025056948,49.191,0.044444444,50.3385,0.025056948,48.331,0.044444444,49.1395,1
18-Aug-10,47.95,47.95,45,47.9,46.76,250,3,11690,250,100,2.95,-0.05,0.065555556,49.13190476,0.020212766,50.2247619,0,48.17238095,0.019148936,49.08047619,1
