Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
06-Oct-08,3.1,3.1,3.1,3.1,3.1,400,3,1240,400,100,0,0,0,3.1,0,3.1,0,3.1,0,3.1,0
07-Oct-08,3,3,2.95,2.95,2.986754967,151,4,451,151,100,0.05,-0.05,-0.032258065,3.05,-0.032258065,3.05,-0.048387097,3.025,-0.048387097,3.025,0
10-Oct-08,2.86,2.86,2.86,2.86,2.86,600,2,1716,600,100,0,0,-0.046666667,2.986666667,-0.046666667,2.986666667,-0.030508475,2.97,-0.030508475,2.97,0
13-Oct-08,2.72,2.73,2.72,2.73,2.724,500,6,1362,500,100,0.01,0.01,-0.048951049,2.92,-0.045454545,2.9225,-0.048951049,2.9075,-0.045454545,2.91,0
16-Oct-08,2.6,2.6,2.6,2.6,2.6,250,2,650,250,100,0,0,-0.044117647,2.856,-0.047619048,2.858,-0.044117647,2.846,-0.047619048,2.848,0
17-Oct-08,2.5,2.5,2.5,2.5,2.5,1000,4,2500,1000,100,0,0,-0.038461538,2.796666667,-0.038461538,2.798333333,-0.038461538,2.788333333,-0.038461538,2.79,0
21-Oct-08,2.5,2.5,2.5,2.5,2.5,100,1,250,100,100,0,0,0,2.754285714,0,2.755714286,0,2.747142857,0,2.748571429,0
22-Oct-08,2.5,2.5,2.38,2.38,2.476,250,3,619,225,90,0.12,-0.12,0,2.7225,0,2.72375,-0.048,2.70125,-0.048,2.7025,0
23-Oct-08,2.27,2.27,2.27,2.27,2.264,125,3,283,100,80,0,0,-0.092,2.672222222,-0.092,2.673333333,-0.046218487,2.653333333,-0.046218487,2.654444444,0
24-Oct-08,2.35,2.35,2.35,2.35,2,2,2,4,0,0,0,0,0.035242291,2.64,0.035242291,2.641,0.035242291,2.623,0.035242291,2.624,0
03-Nov-08,2.3,2.3,2.3,2.3,2,1,1,2,1,100,0,0,-0.021276596,2.609090909,-0.021276596,2.61,-0.021276596,2.593636364,-0.021276596,2.594545455,0
06-Nov-08,2.19,2.19,2.19,2.19,2,2,2,4,0,0,0,0,-0.047826087,2.574166667,-0.047826087,2.575,-0.047826087,2.56,-0.047826087,2.560833333,0
07-Nov-08,2.1,2.1,2.1,2.1,2.1,100,1,210,100,100,0,0,-0.04109589,2.537692308,-0.04109589,2.538461538,-0.04109589,2.524615385,-0.04109589,2.525384615,0
10-Nov-08,2,2,2,2,2,225,3,450,200,88.89,0,0,-0.047619048,2.499285714,-0.047619048,2.5,-0.047619048,2.487142857,-0.047619048,2.487857143,0
14-Nov-08,2,2,2,2,2,220,2,440,220,100,0,0,0,2.466,0,2.466666667,0,2.454666667,0,2.455333333,0
21-Nov-08,1.91,1.92,1.91,1.92,1.915294118,2550,7,4884,1575,61.76,0.01,0.01,-0.045,2.43125,-0.04,2.4325,-0.045,2.420625,-0.04,2.421875,0
26-Nov-08,2,2,2,2,2,365,4,730,200,54.79,0,0,0.047120419,2.405882353,0.041666667,2.407058824,0.047120419,2.395882353,0.041666667,2.397058824,0
28-Nov-08,2.1,2.1,2.1,2.1,2.1,100,1,210,100,100,0,0,0.05,2.388888889,0.05,2.39,0.05,2.379444444,0.05,2.380555556,0
01-Dec-08,2,2.2,2,2.2,2.088495575,226,2,472,226,100,0.2,0.2,-0.047619048,2.368421053,0.047619048,2.38,-0.047619048,2.359473684,0.047619048,2.371052632,0
29-Dec-08,2.1,2.1,2.1,2.1,2.1,2000,3,4200,2000,100,0,0,0.05,2.355,-0.045454545,2.366,0.05,2.3465,-0.045454545,2.3575,0
01-Jan-09,2,2,2,2,2,2498,3,4996,2498,100,0,0,0,2,0,2,0,2,0,2,1
02-Jan-09,1.91,1.91,1.91,1.91,1.907960199,402,2,767,402,100,0,0,-0.045,1.955,-0.045,1.955,-0.045,1.955,-0.045,1.955,1
06-Jan-09,1.82,1.82,1.82,1.82,1.818918919,740,4,1346,740,100,0,0,-0.047120419,1.91,-0.047120419,1.91,-0.047120419,1.91,-0.047120419,1.91,1
02-Feb-09,1.91,1.91,1.91,1.91,1,1,1,1,1,100,0,0,0.049450549,1.91,0.049450549,1.91,0.049450549,1.91,0.049450549,1.91,1
03-Feb-09,2,2,2,2,2,238,2,476,238,100,0,0,0.047120419,1.928,0.047120419,1.928,0.047120419,1.928,0.047120419,1.928,1
04-Feb-09,2.1,2.1,2.1,2.1,2.090909091,33,1,69,33,100,0,0,0.05,1.956666667,0.05,1.956666667,0.05,1.956666667,0.05,1.956666667,1
05-Feb-09,2.2,2.2,2.2,2.2,2.198606272,574,4,1262,574,100,0,0,0.047619048,1.991428571,0.047619048,1.991428571,0.047619048,1.991428571,0.047619048,1.991428571,1
06-Feb-09,2.31,2.31,2.31,2.31,2,2,2,4,1,50,0,0,0.05,2.03125,0.05,2.03125,0.05,2.03125,0.05,2.03125,1
09-Feb-09,2.42,2.42,2.42,2.42,2.419213974,1145,4,2770,1145,100,0,0,0.047619048,2.074444444,0.047619048,2.074444444,0.047619048,2.074444444,0.047619048,2.074444444,1
