Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
01-Oct-08,46.65,46.8,46.3,46.45,46.46428571,3500,14,162625,3500,100,0.5,-0.2,0,46.65,0,46.8,0,46.3,0,46.45,0
03-Oct-08,44.15,44.15,44.15,44.15,44.15,100,1,4415,100,100,0,0,-0.053590568,45.4,-0.056623932,45.475,-0.046436285,45.225,-0.049515608,45.3,0
06-Oct-08,41.95,41.95,41.95,41.95,41.95,6000,2,251700,6000,100,0,0,-0.049830125,44.25,-0.049830125,44.3,-0.049830125,44.13333333,-0.049830125,44.18333333,0
10-Oct-08,39.9,39.9,39.9,39.9,39.9,100,1,3990,100,100,0,0,-0.0488677,43.1625,-0.0488677,43.2,-0.0488677,43.075,-0.0488677,43.1125,0
13-Oct-08,37.95,37.95,37.95,37.95,37.95,400,3,15180,400,100,0,0,-0.04887218,42.12,-0.04887218,42.15,-0.04887218,42.05,-0.04887218,42.08,0
14-Oct-08,36.1,36.1,36.1,36.1,36.1,100,1,3610,100,100,0,0,-0.048748353,41.11666667,-0.048748353,41.14166667,-0.048748353,41.05833333,-0.048748353,41.08333333,0
15-Oct-08,34.3,34.3,34.3,34.3,34.3,100,1,3430,100,100,0,0,-0.049861496,40.14285714,-0.049861496,40.16428571,-0.049861496,40.09285714,-0.049861496,40.11428571,0
16-Oct-08,32.6,32.6,32.6,32.6,32.6,10300,6,335780,10300,100,0,0,-0.049562682,39.2,-0.049562682,39.21875,-0.049562682,39.15625,-0.049562682,39.175,0
17-Oct-08,31,31,31,31,31,300,1,9300,300,100,0,0,-0.049079755,38.28888889,-0.049079755,38.30555556,-0.049079755,38.25,-0.049079755,38.26666667,0
20-Oct-08,29.5,29.5,29.5,29.5,29.5,1200,3,35400,1200,100,0,0,-0.048387097,37.41,-0.048387097,37.425,-0.048387097,37.375,-0.048387097,37.39,0
21-Oct-08,28.05,28.05,28.05,28.05,28.05,3300,5,92565,3300,100,0,0,-0.049152542,36.55909091,-0.049152542,36.57272727,-0.049152542,36.52727273,-0.049152542,36.54090909,0
22-Oct-08,26.65,26.65,26.65,26.65,26.65,200,1,5330,200,100,0,0,-0.049910873,35.73333333,-0.049910873,35.74583333,-0.049910873,35.70416667,-0.049910873,35.71666667,0
23-Oct-08,25.35,25.35,25.35,25.35,25.35,200,2,5070,200,100,0,0,-0.048780488,34.93461538,-0.048780488,34.94615385,-0.048780488,34.90769231,-0.048780488,34.91923077,0
24-Oct-08,24.1,26.6,24.1,25,25.64265233,27900,25,715430,27900,100,2.5,0.9,-0.049309665,34.16071429,0.049309665,34.35,-0.049309665,34.13571429,-0.013806706,34.21071429,0
27-Oct-08,26.25,26.25,25.25,25.25,25.75,500,5,12875,500,100,1,-1,0.089211618,33.63333333,-0.013157895,33.81,0.047717842,33.54333333,0.01,33.61333333,0
28-Oct-08,26.5,26.5,26.5,26.5,26.5,100,1,2650,100,100,0,0,0.00952381,33.1875,0.00952381,33.353125,0.04950495,33.103125,0.04950495,33.16875,0
31-Oct-08,25.2,25.2,25.2,25.2,25.2,200,2,5040,200,100,0,0,-0.049056604,32.71764706,-0.049056604,32.87352941,-0.049056604,32.63823529,-0.049056604,32.7,0
03-Nov-08,23.95,23.95,23.95,23.95,23.95,900,2,21555,900,100,0,0,-0.049603175,32.23055556,-0.049603175,32.37777778,-0.049603175,32.15555556,-0.049603175,32.21388889,0
04-Nov-08,22.8,22.8,22.8,22.8,22.8,2100,2,47880,2100,100,0,0,-0.048016701,31.73421053,-0.048016701,31.87368421,-0.048016701,31.66315789,-0.048016701,31.71842105,0
05-Nov-08,21.7,23.9,21.7,23.15,22.92418773,27700,24,635000,27700,100,2.2,1.45,-0.048245614,31.2325,0.048245614,31.475,-0.048245614,31.165,0.015350877,31.29,0
06-Nov-08,22,22,22,22,22,7300,4,160600,7300,100,0,0,0.013824885,30.79285714,-0.079497908,31.02380952,0.013824885,30.72857143,-0.049676026,30.84761905,0
