Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
22-Jan-04,1.45,1.45,1.45,1.45,1.45,5100,12,7395,0,0,0,0,0,1.45,0,1.45,0,1.45,0,1.45,0
27-Jan-04,1.2,1.2,1.2,1.2,1.2,200,1,240,0,0,0,0,-0.172413793,1.325,-0.172413793,1.325,-0.172413793,1.325,-0.172413793,1.325,0
28-Jan-04,1.44,1.44,1.44,1.44,1.439121756,501,2,721,0,0,0,0,0.2,1.363333333,0.2,1.363333333,0.2,1.363333333,0.2,1.363333333,0
10-Feb-04,1.16,1.72,1.16,1.72,1.173658537,1025,3,1203,0,0,0.56,0.56,-0.194444444,1.3125,0.194444444,1.4525,-0.194444444,1.3125,0.194444444,1.4525,0
11-Feb-04,1.4,1.4,1.4,1.4,1.4,5000,1,7000,0,0,0,0,0.206896552,1.33,-0.186046512,1.442,0.206896552,1.33,-0.186046512,1.442,0
13-Feb-04,1.2,1.2,1.15,1.15,1.17,2000,4,2340,0,0,0.05,-0.05,-0.142857143,1.308333333,-0.142857143,1.401666667,-0.178571429,1.3,-0.178571429,1.393333333,0
18-Feb-04,1.05,1.05,1.05,1.05,1.05,26600,1,27930,0,0,0,0,-0.125,1.271428571,-0.125,1.351428571,-0.086956522,1.264285714,-0.086956522,1.344285714,0
24-Feb-04,0.88,0.88,0.88,0.88,0.88,900,1,792,0,0,0,0,-0.161904762,1.2225,-0.161904762,1.2925,-0.161904762,1.21625,-0.161904762,1.28625,0
25-Feb-04,1.05,1.05,1.05,1.05,1.05,500,1,525,0,0,0,0,0.193181818,1.203333333,0.193181818,1.265555556,0.193181818,1.197777778,0.193181818,1.26,0
17-Mar-04,1,1,1,1,1,600,1,600,0,0,0,0,-0.047619048,1.183,-0.047619048,1.239,-0.047619048,1.178,-0.047619048,1.234,0
19-Mar-04,0.85,0.85,0.85,0.85,0.85,400,1,340,0,0,0,0,-0.15,1.152727273,-0.15,1.203636364,-0.15,1.148181818,-0.15,1.199090909,0
22-Mar-04,0.71,0.71,0.71,0.71,0.71,500,1,355,0,0,0,0,-0.164705882,1.115833333,-0.164705882,1.1625,-0.164705882,1.111666667,-0.164705882,1.158333333,0
23-Mar-04,0.6,0.6,0.57,0.57,0.57318,50000,14,28659,0,0,0.03,-0.03,-0.154929577,1.076153846,-0.154929577,1.119230769,-0.197183099,1.07,-0.197183099,1.113076923,0
24-Mar-04,0.68,0.68,0.68,0.68,0.68,50,1,34,0,0,0,0,0.133333333,1.047857143,0.133333333,1.087857143,0.192982456,1.042142857,0.192982456,1.082142857,0
02-Apr-04,0.81,0.81,0.81,0.81,0.8,50,1,40,0,0,0,0,0.191176471,1.032,0.191176471,1.069333333,0.191176471,1.026666667,0.191176471,1.064,0
15-Apr-04,0.9,0.9,0.85,0.85,0.854,500,2,427,0,0,0.05,-0.05,0.111111111,1.02375,0.111111111,1.05875,0.049382716,1.015625,0.049382716,1.050625,0
23-Apr-04,0.7,1,0.7,1,0.85,800,2,680,0,0,0.3,0.3,-0.222222222,1.004705882,0.111111111,1.055294118,-0.176470588,0.997058824,0.176470588,1.047647059,0
19-May-04,0.81,0.81,0.81,0.81,0.81,500,5,405,0,0,0,0,0.157142857,0.993888889,-0.19,1.041666667,0.157142857,0.986666667,-0.19,1.034444444,0
05-Jul-04,0.97,0.97,0.97,0.97,0.97,900,3,873,900,100,0,0,0.197530864,0.992631579,0.197530864,1.037894737,0.197530864,0.985789474,0.197530864,1.031052632,0
06-Jul-04,1.16,1.16,1.16,1.16,1.16,150,2,174,150,100,0,0,0.195876289,1.001,0.195876289,1.044,0.195876289,0.9945,0.195876289,1.0375,0
07-Jul-04,1.38,1.38,0.96,1.33,1.019900498,402,5,410,351,87.31,0.42,-0.05,0.189655172,1.019047619,0.189655172,1.06,-0.172413793,0.992857143,0.146551724,1.051428571,0
14-Jul-04,1.33,1.33,1.33,1.33,1,1,1,1,1,100,0,0,-0.036231884,1.033181818,-0.036231884,1.072272727,0.385416667,1.008181818,0,1.064090909,0
19-Jul-04,1.58,1.59,1.07,1.07,1.070536829,1602,6,1715,1600,99.88,0.52,-0.51,0.187969925,1.056956522,0.195488722,1.094782609,-0.195488722,1.010869565,-0.195488722,1.064347826,0
22-Jul-04,0.86,0.86,0.86,0.86,0.86,1800,4,1548,1800,100,0,0,-0.455696203,1.04875,-0.459119497,1.085,-0.196261682,1.004583333,-0.196261682,1.055833333,0
17-Aug-04,1.03,1.03,1.02,1.02,1.023333333,30000,2,30700,30000,100,0.01,-0.01,0.197674419,1.048,0.197674419,1.0828,0.186046512,1.0052,0.186046512,1.0544,0
