Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
04-Jan-10,415,420,412,414.7,417.7757455,21159,180,8839717,16992,80.31,8,-0.3,0,415,0,420,0,412,0,414.7,0
05-Jan-10,416,417,391.5,395.45,400.7530265,30894,291,12380864,22979,74.38,25.5,-20.55,0.002409639,415.5,-0.007142857,418.5,-0.049757282,401.75,-0.046419098,405.075,0
06-Jan-10,386,404,381.05,389.65,392.272611,28935,250,11350408,13985,48.33,22.95,3.65,-0.072115385,405.6666667,-0.03117506,413.6666667,-0.026692209,394.85,-0.014666835,399.9333333,0
07-Jan-10,405,410,375,385.55,386.7194567,25251,324,9765053,12232,48.44,35,-19.45,0.049222798,405.5,0.014851485,412.75,-0.015877181,389.8875,-0.010522264,396.3375,0
08-Jan-10,382,395,370,381.7,382.1875857,15321,178,5855496,2376,15.51,25,-0.3,-0.056790123,400.8,-0.036585366,409.2,-0.013333333,385.91,-0.009985735,393.41,0
11-Jan-10,382,411,371,409.9,397.5551355,75387,715,29970489,28584,37.92,40,27.9,0,397.6666667,0.040506329,409.5,0.002702703,383.425,0.07388001,396.1583333,0
12-Jan-10,400,403.8,398,400.35,400.0797205,18891,160,7557906,14262,75.5,5.8,0.35,0.047120419,398,-0.017518248,408.6857143,0.07277628,385.5071429,-0.023298365,396.7571429,0
13-Jan-10,395,414.8,391,411.8,406.5750773,23922,265,9726089,16237,67.87,23.8,16.8,-0.0125,397.625,0.027241209,409.45,-0.01758794,386.19375,0.028599975,398.6375,0
14-Jan-10,410,414.9,407,411.25,410.0320894,11094,80,4548896,10427,93.99,7.9,1.25,0.037974684,399,0.00024108,410.0555556,0.040920716,388.5055556,-0.0013356,400.0388889,0
15-Jan-10,414,420,403,409.75,411.7882389,22889,144,9425421,15538,67.88,17,-4.25,0.009756098,400.5,0.012292119,411.05,-0.00982801,389.955,-0.003647416,401.01,0
